GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "29000","Missouri",4,SAINC91,20,"...","Outflows of earnings","Thousands of dollars",5321972,5498070,5909291,6254874,6572004,7024286,7358535,7857706,8354415,8902892,9622901,9875964,10133007,10369931,10799210,11367745,12169571,12479968,13312963,12616405,12802572,12886539,13800488,13763280,14160655,14817080,15138534,15795943,16407416
 "29000","Missouri",4,SAINC91,30,"...","Adjustment for residence","Thousands of dollars",-2599982,-2591872,-2715819,-2833834,-2860155,-3110156,-3209628,-3388252,-3550710,-3679974,-3963766,-4019437,-4131047,-4181771,-4281757,-4572380,-4973469,-4837576,-5425660,-5119186,-4927362,-4337179,-4878066,-4723007,-4788326,-4998485,-5284129,-5558713,-5716103
 "30000","Montana",7,SAINC91,10,"...","Inflows of earnings","Thousands of dollars",35455,37544,39877,42420,46785,50101,54507,59391,64653,69336,76160,79732,80608,82749,87678,92097,100993,111830,127595,131331,171557,286727,474212,559841,664569,544014,374689,417974,493318
 "30000","Montana",7,SAINC91,20,"...","Outflows of earnings","Thousands of dollars",39815,48968,41916,41670,41548,41607,43100,46282,46836,48011,50168,51872,54309,58752,64333,72280,86370,94895,100438,94254,97266,107009,115856,112814,117067,115945,102998,105424,114175
 "30000","Montana",7,SAINC91,30,"...","Adjustment for residence","Thousands of dollars",-4360,-11424,-2039,750,5237,8494,11407,13109,17817,21325,25992,27860,26299,23997,23345,19817,14623,16935,27157,37077,74291,179718,358356,447027,547502,428069,271691,312550,379143
 "31000","Nebraska",4,SAINC91,10,"...","Inflows of earnings","Thousands of dollars",277790,294036,319923,340143,388729,427811,477271,493611,546546,568867,613585,641735,661487,683988,730934,781810,868880,885108,910695,894647,931475,985932,1107664,1196664,1344522,1373258,1377053,1375154,1486172
 "31000","Nebraska",4,SAINC91,20,"...","Outflows of earnings","Thousands of dollars",668857,720939,790840,826674,890719,975417,1076358,1170380,1260882,1368547,1481146,1516481,1563871,1621840,1674951,1722787,1725140,1832438,1890173,1851516,1829669,1949140,2106174,2165543,2280980,2382208,2441823,2589696,2653381
 "31000","Nebraska",4,SAINC91,30,"...","Adjustment for residence","Thousands of dollars",-391067,-426903,-470917,-486531,-501990,-547606,-599087,-676769,-714336,-799680,-867561,-874746,-902384,-937852,-944017,-940977,-856260,-947330,-979478,-956869,-898194,-963208,-998510,-968879,-936458,-1008950,-1064770,-1214542,-1167209
 "32000","Nevada",8,SAINC91,10,"...","Inflows of earnings","Thousands of dollars",186211,224954,300672,310142,349961,404673,452311,544945,594854,644638,758236,810331,841985,897534,979130,1057381,1153497,1239492,1261400,1175704,1201567,1276068,1346243,1426825,1489478,1622883,1698040,1792840,1928476
 "32000","Nevada",8,SAINC91,20,"...","Outflows of earnings","Thousands of dollars",562737,570431,605784,653905,703617,753432,820404,872968,944621,1026592,1096396,1164574,1205558,1307293,1473410,1606216,1627420,1639285,1581938,1483405,1453347,1421436,1503016,1563050,1666355,1747726,1911443,1962878,2150409
 "32000","Nevada",8,SAINC91,30,"...","Adjustment for residence","Thousands of dollars",-376526,-345477,-305112,-343763,-353656,-348759,-368093,-328023,-349767,-381954,-338160,-354243,-363573,-409759,-494280,-548835,-473923,-399793,-320538,-307701,-251780,-145368,-156773,-136225,-176877,-124843,-213403,-170038,-221933
 "33000","New Hampshire",1,SAINC91,10,"...","Inflows of earnings","Thousands of dollars",3209997,3333382,3480573,3658254,3845719,3946313,4210374,4591782,4986043,5541830,6380938,6553823,6457191,6569996,7026017,7164771,7516439,8039818,8305308,7700948,8248363,8823841,9299090,9077465,9135218,9918415,10500557,10783582,11579268
 "33000","New Hampshire",1,SAINC91,20,"...","Outflows of earnings","Thousands of dollars",1238224,1215188,1303310,1355642,1447098,1555354,1644520,1788951,2082070,2166011,2360220,2490010,2522573,2621138,2797378,2944675,3141099,3292438,3427121,3539461,3480642,3737582,3805824,3875187,4192539,4471846,4457885,4648980,4861786
 "33000","New Hampshire",1,SAINC91,30,"...","Adjustment for residence","Thousands of dollars",1971773,2118194,2177263,2302612,2398621,2390959,2565854,2802831,2903973,3375819,4020718,4063813,3934618,3948858,4228639,4220096,4375340,4747380,4878187,4161487,4767721,5086259,5493266,5202278,4942679,5446569,6042672,6134602,6717482
 "34000","New Jersey",2,SAINC91,10,"...","Inflows of earnings","Thousands of dollars",22224425,22510020,25212323,25638018,26293546,28116855,30747530,33837418,37017902,39594607,44714311,45763935,44096563,44801778,49046440,52757918,58803831,66382395,67042669,56620976,62600439,67464406,70872964,71474896,74784090,78198791,79966093,83928543,89945576
 "34000","New Jersey",2,SAINC91,20,"...","Outflows of earnings","Thousands of dollars",11870798,12197897,13146580,13386740,14059555,14751244,15426050,15755802,17421651,18098342,20167276,20582542,21290783,21748521,22923881,24191913,24950788,26106881,27497477,25510063,27566595,28367716,31130812,30734857,31104318,31786373,32171737,34346029,35175267
 "34000","New Jersey",2,SAINC91,30,"...","Adjustment for residence","Thousands of dollars",10353627,10312123,12065743,12251278,12233991,13365611,15321480,18081616,19596251,21496265,24547035,25181393,22805780,23053257,26122559,28566005,33853043,40275514,39545192,31110913,35033844,39096690,39742152,40740039,43679772,46412418,47794356,49582514,54770309
 "35000","New Mexico",6,SAINC91,10,"...","Inflows of earnings","Thousands of dollars",281175,306518,338870,370975,399652,429288,459487,500383,547956,593441,648255,663016,683672,716123,727122,763753,828281,890749,951111,945865,937570,966881,996908,993368,1050382,1060830,1061818,1128780,1215042
 "35000","New Mexico",6,SAINC91,20,"...","Outflows of earnings","Thousands of dollars",231852,245072,261565,275314,288618,307190,317732,337203,361458,378611,408484,451394,489587,533856,590950,694030,745896,817389,893503,877382,929309,987591,1012729,1059949,1123969,1113463,1069894,1039216,1117237
 "35000","New Mexico",6,SAINC91,30,"...","Adjustment for residence","Thousands of dollars",49323,61446,77305,95661,111034,122098,141755,163180,186498,214830,239771,211622,194085,182267,136172,69723,82385,73360,57608,68483,8261,-20710,-15821,-66581,-73587,-52633,-8076,89564,97805
 "36000","New York",2,SAINC91,10,"...","Inflows of earnings","Thousands of dollars",9672941,9974148,10298334,10642932,11440242,11430604,11940733,12646763,13592276,14939805,17108781,17282208,17291966,17508449,18191716,18971214,19707855,20731834,20765907,19854676,20630429,21850647,22830294,22885762,23523918,24331522,24431867,25211392,25773257
 "36000","New York",2,SAINC91,20,"...","Outflows of earnings","Thousands of dollars",23143666,23422371,26878709,26993936,27785306,30008083,33370471,36637158,40885063,43442913,49407817,50419040,48244012,49059713,54419196,59177807,66550119,76629683,77143388,63847719,70876368,75814284,79210305,79145419,83730832,87189517,88874763,93941677,102688934
 "36000","New York",2,SAINC91,30,"...","Adjustment for residence","Thousands of dollars",-13470725,-13448223,-16580375,-16351004,-16345064,-18577479,-21429738,-23990395,-27292787,-28503108,-32299036,-33136832,-30952046,-31551264,-36227480,-40206593,-46842264,-55897849,-56377481,-43993043,-50245939,-53963637,-56380011,-56259657,-60206914,-62857995,-64442896,-68730285,-76915677
 "37000","North Carolina",5,SAINC91,10,"...","Inflows of earnings","Thousands of dollars",1091497,1134619,1234997,1324101,1396830,1485604,1578859,1702807,1888498,2041424,2181372,2303663,2433262,2685279,2901444,3152901,3385844,3624482,3767153,3700115,3878867,4217408,4458227,4658634,4975117,5242092,5559309,6039439,6352899
 "37000","North Carolina",5,SAINC91,20,"...","Outflows of earnings","Thousands of dollars",1549082,1574784,1699482,1805364,1943204,2103403,2260866,2462456,2626310,2848277,3102218,3234000,3332598,3440785,3658096,3978859,4395641,4864625,5038635,4746059,4840355,5108226,5396984,5505966,5894264,6367468,6849515,7240634,7828561
 "37000","North Carolina",5,SAINC91,30,"...","Adjustment for residence","Thousands of dollars",-457585,-440165,-464485,-481263,-546374,-617799,-682007,-759649,-737812,-806853,-920846,-930337,-899336,-755506,-756652,-825958,-1009797,-1240143,-1271482,-1045944,-961488,-890818,-938757,-847332,-919147,-1125376,-1290206,-1201195,-1475662
 "38000","North Dakota",4,SAINC91,10,"...","Inflows of earnings","Thousands of dollars",163054,180907,201711,213602,233149,244432,254052,268854,294622,308123,321087,332850,352923,371706,390502,399457,416928,442007,471391,477024,487367,526331,567451,562136,603355,599553,611930,633514,674681
 "38000","North Dakota",4,SAINC91,20,"...","Outflows of earnings","Thousands of dollars",347225,371841,407652,438985,473661,506276,548042,589824,638617,678554,724977,765055,799936,841086,912167,969468,1051549,1145595,1233187,1279959,1454305,1847876,2468778,2854040,3238293,2993003,2590367,2723682,2950881
 "38000","North Dakota",4,SAINC91,30,"...","Adjustment for residence","Thousands of dollars",-184171,-190934,-205941,-225383,-240512,-261844,-293990,-320970,-343995,-370431,-403890,-432205,-447013,-469380,-521665,-570011,-634621,-703588,-761796,-802935,-966938,-1321545,-1901327,-2291904,-2634938,-2393450,-1978437,-2090168,-2276200
 "39000","Ohio",3,SAINC91,10,"...","Inflows of earnings","Thousands of dollars",2395358,2509013,2698989,2799344,3019702,3167203,3369597,3628595,3861150,4206255,4585874,4807565,4996428,5216559,5558806,5818165,6023851,6231094,6386945,6101753,6365114,6833549,7448005,7271074,7490505,7653717,7775801,8249801,9144005
 "39000","Ohio",3,SAINC91,20,"...","Outflows of earnings","Thousands of dollars",3488414,3623815,3928954,4126728,4470068,4658104,4915748,5272116,5680470,5994841,6334441,6544247,6754390,6987429,7275010,7549584,7909267,8205226,8351661,7938695,8160351,8756023,9336332,9586684,10045323,10271453,10437590,10691485,11079813
 "39000","Ohio",3,SAINC91,30,"...","Adjustment for residence","Thousands of dollars",-1093056,-1114802,-1229965,-1327384,-1450366,-1490901,-1546151,-1643521,-1819320,-1788586,-1748567,-1736682,-1757962,-1770870,-1716204,-1731419,-1885416,-1974132,-1964716,-1836942,-1795237,-1922474,-1888327,-2315610,-2554818,-2617736,-2661789,-2441684,-1935808
 "40000","Oklahoma",6,SAINC91,10,"...","Inflows of earnings","Thousands of dollars",741131,778062,831537,871369,929707,975698,1019345,1115130,1172721,1243068,1351117,1386489,1385013,1406278,1449640,1490477,1554252,1587317,1598054,1478319,1478046,1530161,1574653,1566668,1620599,1636373,1636340,1696782,1779614
 "40000","Oklahoma",6,SAINC91,20,"...","Outflows of earnings","Thousands of dollars",172744,180859,213106,214707,215839,229135,239863,256429,279970,304146,332314,372495,398431,438606,499628,578196,670135,739092,805074,796589,863351,966313,1019862,1092188,1155662,1211380,1171442,1237376,1318659
 "40000","Oklahoma",6,SAINC91,30,"...","Adjustment for residence","Thousands of dollars",568387,597203,618431,656662,713868,746563,779482,858701,892751,938922,1018803,1013994,986582,967672,950012,912281,884117,848225,792980,681730,614695,563848,554791,474480,464937,424993,464898,459406,460955
 "41000","Oregon",8,SAINC91,10,"...","Inflows of earnings","Thousands of dollars",714430,763307,803638,843953,954044,998665,1006387,1089537,1190656,1342050,1487903,1489365,1456868,1456928,1498792,1539413,1576238,1616110,1590920,1505914,1515823,1562331,1642612,1636980,1741903,1850280,1946404,2084330,2231164
 "41000","Oregon",8,SAINC91,20,"...","Outflows of earnings","Thousands of dollars",1332496,1446217,1583156,1718931,1895183,2117948,2361159,2629869,2854288,3099066,3486700,3600355,3647130,3824837,4092703,4424842,4850655,5161741,5257648,4995860,4886468,5264967,5556271,5545950,5631978,6031380,6524859,6797155,7132526
 "41000","Oregon",8,SAINC91,30,"...","Adjustment for residence","Thousands of dollars",-618066,-682910,-779518,-874978,-941139,-1119283,-1354772,-1540332,-1663632,-1757016,-1998797,-2110990,-2190262,-2367909,-2593911,-2885429,-3274417,-3545631,-3666728,-3489946,-3370645,-3702636,-3913659,-3908970,-3890075,-4181100,-4578455,-4712825,-4901362
 "42000","Pennsylvania",2,SAINC91,10,"...","Inflows of earnings","Thousands of dollars",7098900,7332111,7886073,8298396,8811958,9587729,10268380,11215135,12321308,13214159,14571059,15405466,16011392,16938028,18338335,20000282,21358153,23115854,23940807,22459104,23639983,24625271,25983843,26098222,27661958,28548271,29242916,30707862,31600939
 "42000","Pennsylvania",2,SAINC91,20,"...","Outflows of earnings","Thousands of dollars",6060004,6279610,6660144,6958765,7159873,7420895,7835017,8342504,9050590,9657795,10515077,11088262,11420581,11857904,12469588,13108376,14017566,14890713,15364873,15127538,15637146,16758424,17755155,17946316,18691068,19673975,19670993,20751735,21329434
 "42000","Pennsylvania",2,SAINC91,30,"...","Adjustment for residence","Thousands of dollars",1038896,1052501,1225929,1339631,1652085,2166834,2433363,2872631,3270718,3556364,4055982,4317204,4590811,5080124,5868747,6891906,7340587,8225141,8575934,7331566,8002837,7866847,8228688,8151906,8970890,8874296,9571923,9956127,10271505
 "44000","Rhode Island",1,SAINC91,10,"...","Inflows of earnings","Thousands of dollars",1668349,1677558,1773436,1874023,1996963,2113084,2249267,2420243,2620915,2841758,3155669,3393051,3534752,3693555,4094408,4106521,4365476,4619820,4549511,4439756,4508600,5015037,5437459,5667807,5658728,6088868,6356192,6995872,7618074
 "44000","Rhode Island",1,SAINC91,20,"...","Outflows of earnings","Thousands of dollars",997641,980995,1055389,1113411,1167333,1253955,1320645,1425265,1547394,1666608,1820320,1964078,2121223,2320539,2496886,2669809,2916042,3090308,3238231,3200891,3485020,3734889,4014460,4254641,4504990,4681329,4782686,4961798,5017580
 "44000","Rhode Island",1,SAINC91,30,"...","Adjustment for residence","Thousands of dollars",670708,696563,718047,760612,829630,859129,928622,994978,1073521,1175150,1335349,1428973,1413529,1373016,1597522,1436712,1449434,1529512,1311280,1238865,1023580,1280148,1422999,1413166,1153738,1407539,1573506,2034074,2600494
 "45000","South Carolina",5,SAINC91,10,"...","Inflows of earnings","Thousands of dollars",1594966,1615438,1729880,1821942,1951594,2102486,2268350,2463363,2651403,2869381,3155723,3307245,3427989,3592919,3823281,4175726,4593404,5079386,5272886,5088288,5160219,5459721,5848284,6040327,6454971,6973421,7556664,7990234,8578808
 "45000","South Carolina",5,SAINC91,20,"...","Outflows of earnings","Thousands of dollars",1087605,1121154,1226342,1302125,1315323,1335170,1390540,1427332,1535974,1666004,1726512,1787815,1871023,2001433,2148530,2306423,2450901,2564641,2674579,2502796,2633098,2896239,2995570,3084367,3342874,3528229,3671912,4063253,4265008
 "45000","South Carolina",5,SAINC91,30,"...","Adjustment for residence","Thousands of dollars",507361,494284,503538,519817,636271,767316,877810,1036031,1115429,1203377,1429211,1519430,1556966,1591486,1674751,1869303,2142503,2514745,2598307,2585492,2527121,2563482,2852714,2955960,3112097,3445192,3884752,3926981,4313800
 "46000","South Dakota",4,SAINC91,10,"...","Inflows of earnings","Thousands of dollars",69075,78176,90069,102254,115018,141973,149040,184935,199964,219733,250277,258705,267779,281142,293499,321950,355700,405173,443030,431035,446223,433474,476394,493734,553455,577728,557518,523873,567945
 "46000","South Dakota",4,SAINC91,20,"...","Outflows of earnings","Thousands of dollars",123314,145919,175047,202622,245438,291878,337828,370589,432559,469062,517417,523452,504511,506358,514481,493285,497008,544624,546548,499878,517522,546491,548402,532299,574956,598958,614543,648248,680873
 "46000","South Dakota",4,SAINC91,30,"...","Adjustment for residence","Thousands of dollars",-54239,-67743,-84978,-100368,-130420,-149905,-188788,-185654,-232595,-249329,-267140,-264747,-236732,-225216,-220982,-171335,-141308,-139451,-103518,-68843,-71299,-113017,-72008,-38565,-21501,-21230,-57025,-124375,-112928
 "47000","Tennessee",5,SAINC91,10,"...","Inflows of earnings","Thousands of dollars",1678684,1794965,2155674,2235086,2379280,2526452,2707349,2750011,2928026,3063853,3186523,3342191,3494031,3711117,3903002,4325220,4669330,4915456,5212698,5241571,5575305,5954662,6083576,5952677,6163687,6370177,6307436,6508704,6766718
 "47000","Tennessee",5,SAINC91,20,"...","Outflows of earnings","Thousands of dollars",2307439,2417063,2638365,2830770,3066206,3293713,3492112,3780504,4102783,4422706,4736231,4905265,5042368,5266500,5542358,5779289,6051354,6397461,6595891,6209733,6322122,6714180,7156400,7194045,7361004,7688811,8059432,8222458,8601329
 "47000","Tennessee",5,SAINC91,30,"...","Adjustment for residence","Thousands of dollars",-628755,-622098,-482691,-595684,-686926,-767261,-784763,-1030493,-1174757,-1358853,-1549708,-1563074,-1548337,-1555383,-1639356,-1454069,-1382024,-1482005,-1383193,-968162,-746817,-759518,-1072824,-1241368,-1197317,-1318634,-1751996,-1713754,-1834611
 "48000","Texas",6,SAINC91,10,"...","Inflows of earnings","Thousands of dollars",1090859,1146769,1236680,1307931,1386373,1464239,1566429,1697709,1864110,2035807,2251252,2377420,2452711,2579999,2775674,3008586,3257894,3518550,3721356,3560594,3695729,3942667,4130857,4309919,4672800,4854100,5021727,5353544,5620002
 "48000","Texas",6,SAINC91,20,"...","Outflows of earnings","Thousands of dollars",1575329,1709606,1822482,1914453,2057643,2216884,2389498,2660636,2922513,3118572,3431360,3562373,3587494,3639544,3753149,3956246,4291707,4639838,4911417,4956504,5223200,5782479,6338784,6683251,7112771,7309687,7162536,7319627,7707375
 "48000","Texas",6,SAINC91,30,"...","Adjustment for residence","Thousands of dollars",-484470,-562837,-585802,-606522,-671270,-752645,-823069,-962927,-1058403,-1082765,-1180108,-1184953,-1134783,-1059545,-977475,-947660,-1033813,-1121288,-1190061,-1395910,-1527471,-1839812,-2207927,-2373332,-2439971,-2455587,-2140809,-1966083,-2087373
 "49000","Utah",7,SAINC91,10,"...","Inflows of earnings","Thousands of dollars",137557,144031,155230,172588,193337,204542,226251,250038,271752,300498,335200,343251,346910,361145,388915,423126,464472,500551,524605,471735,475930,500597,542070,568478,599170,610903,606305,635518,681710
 "49000","Utah",7,SAINC91,20,"...","Outflows of earnings","Thousands of dollars",120691,132534,148675,165462,186393,204244,225854,250186,275576,301818,330316,343467,349343,360189,387240,408147,445198,484926,491213,464716,474984,501990,525978,541251,565443,601959,636600,674573,721619
 "49000","Utah",7,SAINC91,30,"...","Adjustment for residence","Thousands of dollars",16866,11497,6555,7126,6944,298,397,-148,-3824,-1320,4884,-216,-2433,956,1675,14979,19274,15625,33392,7019,946,-1393,16092,27227,33727,8944,-30295,-39055,-39909
 "50000","Vermont",1,SAINC91,10,"...","Inflows of earnings","Thousands of dollars",337128,351958,387831,419632,456141,484753,518443,567344,629110,682123,748885,780577,808800,846737,883628,919702,970539,1013793,1040140,1046407,1086359,1137921,1171344,1219110,1252377,1307524,1324998,1356534,1400916
 "50000","Vermont",1,SAINC91,20,"...","Outflows of earnings","Thousands of dollars",285129,292345,319731,341799,363152,378689,396416,420931,454810,486575,522096,543792,573978,595663,646161,669992,689169,722491,754630,714845,756178,832652,858816,881422,881846,935481,979624,943822,973523
 "50000","Vermont",1,SAINC91,30,"...","Adjustment for residence","Thousands of dollars",51999,59613,68100,77833,92989,106064,122027,146413,174300,195548,226789,236785,234822,251074,237467,249710,281370,291302,285510,331562,330181,305269,312528,337688,370531,372043,345374,412712,427393
 "51000","Virginia",5,SAINC91,10,"...","Inflows of earnings","Thousands of dollars",11569102,12251419,13190137,13839922,14207379,14706239,14902796,16236965,16933355,19615223,19362888,20414974,21828744,23276126,24957659,26318098,28243049,29699319,31879844,31800831,33786841,36396032,36363218,35647681,37941755,39214580,41019408,42049365,43581192
 "51000","Virginia",5,SAINC91,20,"...","Outflows of earnings","Thousands of dollars",6372954,6622617,7158504,7496076,7938380,8330732,8977911,9754724,10721950,11693571,13300372,13840267,13750097,14500782,15717013,16809728,17434514,18282134,18621857,18716976,19188599,19519782,19514843,19035225,19429340,20383944,21081160,22015479,23089169
 "51000","Virginia",5,SAINC91,30,"...","Adjustment for residence","Thousands of dollars",5196148,5628802,6031633,6343846,6268999,6375507,5924885,6482241,6211405,7921652,6062516,6574707,8078647,8775344,9240646,9508370,10808535,11417185,13257987,13083855,14598242,16876250,16848375,16612456,18512415,18830636,19938248,20033886,20492023
 "53000","Washington",8,SAINC91,10,"...","Inflows of earnings","Thousands of dollars",1759726,1902804,2083648,2240800,2434957,2660794,2932803,3230649,3503913,3792020,4319342,4442335,4477698,4652060,4940256,5286369,5783274,6114458,6147087,5813605,5746047,6201195,6476953,6502054,6632810,7139904,7659007,7959472,8321917
 "53000","Washington",8,SAINC91,20,"...","Outflows of earnings","Thousands of dollars",841506,912560,982539,1044917,1185103,1253485,1305694,1445039,1611924,1833574,2038295,2066361,2045252,2083826,2172828,2251384,2341392,2449351,2465485,2419526,2505115,2676249,2867627,2920232,3096019,3251439,3470956,3724846,3997982
 "53000","Washington",8,SAINC91,30,"...","Adjustment for residence","Thousands of dollars",918220,990244,1101109,1195883,1249854,1407309,1627109,1785610,1891989,1958446,2281047,2375974,2432446,2568234,2767428,3034985,3441882,3665107,3681602,3394079,3240932,3524946,3609326,3581822,3536791,3888465,4188051,4234626,4323935
 "54000","West Virginia",5,SAINC91,10,"...","Inflows of earnings","Thousands of dollars",1368532,1406078,1538055,1600122,1739835,1820209,1915374,2086558,2293495,2493351,2686537,2903778,3018998,3206670,3468136,3794896,4079639,4362354,4576976,4475362,4621043,4845319,4854234,4903063,5068057,5210582,5333624,5546648,5703060
 "54000","West Virginia",5,SAINC91,20,"...","Outflows of earnings","Thousands of dollars",1276467,1331783,1404126,1468551,1559229,1596541,1680978,1694091,1854665,1992536,2061292,2131497,2202175,2245448,2377950,2505594,2743208,2876841,3136162,3147148,3162117,3377825,3639368,3647232,3598613,3671532,3631343,3910389,4481515
 "54000","West Virginia",5,SAINC91,30,"...","Adjustment for residence","Thousands of dollars",92065,74295,133929,131571,180606,223668,234396,392467,438830,500815,625245,772281,816823,961222,1090186,1289302,1336431,1485513,1440814,1328214,1458926,1467494,1214866,1255831,1469444,1539050,1702281,1636259,1221545
 "55000","Wisconsin",3,SAINC91,10,"...","Inflows of earnings","Thousands of dollars",2078855,2181673,2381204,2520968,2744713,2936218,3156474,3456119,3779684,4074363,4450915,4692549,4872198,5068378,5303603,5607815,5886707,6264335,6387099,5903233,5993698,6410981,6626524,6822421,7094691,7452720,7622562,7842879,8218180
 "55000","Wisconsin",3,SAINC91,20,"...","Outflows of earnings","Thousands of dollars",736365,818932,919279,1002331,1088986,1161411,1238308,1335369,1473523,1597416,1743508,1853520,1948500,2069138,2198626,2309306,2464034,2581074,2659465,2612489,2751142,3053768,3330165,3568200,3607611,3799781,3864976,4044273,4256096
 "55000","Wisconsin",3,SAINC91,30,"...","Adjustment for residence","Thousands of dollars",1342490,1362741,1461925,1518637,1655727,1774807,1918166,2120750,2306161,2476947,2707407,2839029,2923698,2999240,3104977,3298509,3422673,3683261,3727634,3290744,3242556,3357213,3296359,3254221,3487080,3652939,3757586,3798606,3962084
 "56000","Wyoming",7,SAINC91,10,"...","Inflows of earnings","Thousands of dollars",75381,89440,88644,94068,100049,106320,114669,125192,134684,146291,162862,164408,165704,167382,178934,181410,193113,214443,227720,209246,211764,241261,290557,338059,375738,354495,283926,309136,352617
 "56000","Wyoming",7,SAINC91,20,"...","Outflows of earnings","Thousands of dollars",85971,90444,94768,101984,107520,111278,114226,119880,126898,139399,149099,173604,195093,217382,241561,274727,333832,391765,444035,424893,449439,488635,536228,572602,597432,588328,555531,569449,607102
 "56000","Wyoming",7,SAINC91,30,"...","Adjustment for residence","Thousands of dollars",-10590,-1004,-6124,-7916,-7471,-4958,443,5312,7786,6892,13763,-9196,-29389,-50000,-62627,-93317,-140719,-177322,-216315,-215647,-237675,-247374,-245671,-234543,-221694,-233833,-271605,-260313,-254485
"Note: See the included footnote file."
"SAINC91: Gross Flow of Earnings "
"Last updated: September 24, 2019. "
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
