Table 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NV,4.1952,3.551475882,0,0,3.389937107,4.246341463,4.393548387,3.940735413,0,2.818181818,4.013333333,3.925614622,3.228070175,3.480392157,3.83988006,3.896360337,3.859396858,3.696080943,3.452193142,3.663858412,0,3.956312839,3.781818182,3.855655407,0,3.982868142,0,3.904904774,3.739482068,3.384561443,3.564121108,3.946428571,4.223803594,3.747240618,0,3.820863391,3.64791313,3.643312102,4.024721879,3.255708405,3.682832872,3.652123036,4.20990099,3.579310345,4.097613549,4.011064368,0,3.884173263,3.936703975,3.930667104,4.105104947,4.376847291,3.905447071,4.0194683,4.042128603,3.472727273,2.616766467,3.796821898,4.120147874,3.5,0,3.750352609,0,3.610444063,3.748089778,4.000915525,4.299457995,3.97858779,3.981900452,4.162409639,4.052602436,4.181313375,3.943291139,4.052985965,3.73762716,4.141122247,4.148107515,4.176012461,4.258802817,4.108035714,3.735294118,3.961765728,3.766875317,2.987767584,4.186512524,4.148688047,3.745423036,4.524752475,0,4.157534247,4.040437158,4.493256262,3.989208633,3.859593887,3.791858264,3.411378556,0,3.846121394,3.811082024,0,3.916196307,4.001660145,3.834570939,4.047387775,0,3.87627798,0,3.921070581,0,3.774174246,4.033891814,4.143512,3.732432937,3.981766211,4.149122807,4.160714286,0,4.217661631,4.062181472,3.660770763,4.190412272,4.196907901,407.700485
NY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.470588235,0,2.5,2.833333333,0,0,0,0,0,0,0,0,0,0,2.5,3.75,0,0,0,3,3.941176471,0,0,2.944444444,0,0,0,0,3.75,0,0,0,0,0,0,0,0,0,0,0,0,3.142857143,0,0,0,0,0,0,3.285714286,0,0,0,0,0,0,0,0,0,4.5,0,0,0,0,4.5,0,0,0,0,0,0,3.771428571,0,0,0,0,0,0,4.352941176,4.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.76248366
OH,4.320895522,3.578397213,0,0,4.315789474,4.083333333,4.782608696,3.749794352,0,0,0,3.687533875,2.928571429,3.896969697,3.893382353,3.760757315,3.669951301,3.051020408,3.403568394,3.377730515,4.339622642,4.023240632,3.05,3.823146944,3.903052065,3.856255546,0,3.744749596,3.081001473,3.213989099,3.533657588,3.599447514,4.210687023,4.469635628,0,3.901911394,3.606953009,3.833333333,4.278026906,3.125619835,3.72972973,3.582089552,3.291525424,3.779816514,4.203366059,4.036135315,0,3.721636891,3.644554455,3.942143467,3.877659574,0,4.072155412,4.140740741,3.872246696,0,0,3.822491349,4.172881356,3.906103286,0,3.882019928,4.272727273,3.48216106,3.702470096,3.631359555,4.297101449,3.897863818,4.37254902,3.161764706,3.975260417,4.526315789,4.002314815,4.112679705,3.549248099,4.122952437,4.157319738,3.456953642,3.9375,3.444141689,0,3.602609727,3.966535433,4.259259259,4.563636364,3.707317073,3.663482087,4.295172414,0,3.5,3.820163488,0,3.940298507,3.632642587,3.799728491,0,0,3.698470411,4.235294118,4.5,3.729716277,3.657597877,3.772465693,3.823284823,0,3.508422259,3.462555066,3.712628439,0,4.078864353,4.005392912,3.963227419,3.341145833,3.939273726,4.236467236,4.068376068,0,4.109689526,4.040445026,3.937415335,4.007648184,3.657298277,392.1111374
ON,3.700965981,3.732237796,0,0,3.832009081,3.472826087,0,3.545234626,3.621848739,3.697368421,3.494339623,3.57384924,3.135135135,3.39709596,3.643112063,3.596909208,3.608376712,3.682039397,3.263590099,3.358445001,4.242424242,3.697399391,3.498039216,3.556573117,3.968115942,3.858326887,0,3.754480287,3.462975543,3.212201203,3.384645795,3.596753414,3.715240642,3.8101983,4.196850394,3.628652058,3.517042172,3.84,3.857244318,3.341650252,3.655455904,3.802096705,3.047337278,3.425256752,3.764150943,3.789302109,0,3.582638952,3.869927159,3.646217237,3.54383464,0,3.53005966,3.794167134,4.071312804,0,3.317152104,3.577271203,3.30276204,3.66721044,3.911111111,3.590974845,3.62815405,3.380215343,3.604650196,3.579406806,3.953319502,3.593650197,3.56930126,4.025723473,3.90225151,3.723049434,3.680898876,3.599744873,3.590110431,3.620561917,3.842001687,3.445297505,3.43081761,0,4.275132275,3.729304709,3.521481977,3.249430524,3.612664738,3.793672627,3.513644269,3.825342466,0,3.833333333,3.554469274,3.613537118,3.820241692,3.690379624,3.703614119,4.052631579,4.03030303,3.629260183,3.435779817,3.676470588,3.66473379,3.592033647,3.796826796,3.848242812,3.723529412,3.551584584,4.292682927,3.521135405,4.46031746,3.30499513,3.820261438,3.789098999,3.366064203,3.556126755,3.794262295,3.685121107,0,3.864492924,3.767023629,3.587749694,3.722037652,4.254901961,411.0755066
PA,0,3.489795918,0,0,0,4.57568534,4.2,3.755424063,2,0,4.103448276,3.659598854,3.370044053,3.864811133,3.62745098,4.020661157,3.753462604,4.265873016,3.114006515,3.449853776,4.375,4.049331849,3.906432749,3.910644911,4.124223602,3.979137691,0,3.680738786,3.890971039,3.354450113,3.542682927,3.547968885,4,3.848837209,0,3.981420314,3.71166593,3.393939394,3.961089494,3.201735358,3.939393939,4.073619632,4.104046243,3.680851064,3.897058824,4.175116181,0,3.871318085,3.981287837,3.817748092,3.926734863,0,3.974327628,4.40599455,4.125,0,0,3.791962175,3.754189944,4.13592233,4.447368421,3.812165946,4.25,3.47839196,3.699885301,3.627056224,0,3.791569992,4.054794521,3.454545455,4.226660682,4.1625,3.20625,4.079227198,3.67508394,4.128129602,4.142001711,3.530120482,4.12371134,3.862068966,0,3.9100174,3.758228606,3.423261391,2.105263158,4,3.61980071,4.163163163,0,4.423529412,3.836829837,3.637883008,4.391089109,3.602309931,3.681087914,0,0,3.765241681,3.20625,0,4.04023845,3.52298376,3.668292683,3.701657459,0,3.54808899,0,3.721258361,4.428571429,3.836195509,3.599722029,3.835740817,3.304484305,3.939225894,4.181472081,0,4.204724409,4.131632885,3.888709243,3.920316302,3.96399177,3.994764398,390.0725152
QC,4.2578125,4.033834586,0,0,4.037914692,3.559322034,0,3.692025184,4.459016393,3.546875,3.857142857,3.598529094,4.230366492,3.652430044,3.71594043,3.233606557,3.950410584,4.058225508,3.151234568,3.775137807,3.95049505,4.073460352,5,3.841402337,4.013636364,4.074626866,0,3.352941176,3.752468265,3.096228869,3.597768404,4.075940383,3.867939973,4.144329897,4.6875,3.9320545,3.917327293,4.418604651,3.985815603,3.620815698,4.022522523,4.083445491,3.783050847,3.727272727,3.768361582,3.979553181,3.671641791,3.823205939,3.634730539,3.86981056,3.777184466,0,3.890493381,3.390625,3.731343284,0,0,3.77929374,3.551569507,4.333333333,4.543859649,3.804898184,4.125,3.762028609,3.750133533,3.839113336,3.891891892,3.833198381,4.119318182,4.031914894,3.986503067,3.806378132,4.093103448,3.974870989,3.669713439,3.922680412,4.131382979,3.395522388,4.058252427,0,0,3.562757202,3.581473214,3.548780488,3.742009132,3.994722955,3.644727001,4.337579618,0,4.333333333,4.031914894,3.945039402,4.019138756,3.809153713,3.970705543,3.217391304,0,3.900757337,4.081632653,0,4.053003534,4.144958737,3.956066946,4.123513266,3.775,3.71908646,3.1875,3.642781316,4.697674419,3.838452787,3.876299376,3.958478369,3.244845361,3.621848739,4.022522523,4.4,0,4.091324201,4.000190295,3.737454949,4.238636364,0,419.821136
SC,0,0,0,0,0,0,0,3.451652387,0,0,0,4.039462636,0,0,0,0,3.879151292,3.569105691,3.263157895,3.42756017,0,4.241304348,0,3.859813084,0,3.75,0,3.466666667,2.722627737,3.265869365,3.657175399,4.088235294,0,3.887096774,0,3.742857143,3.044052863,0,0,2.706245181,3.5,0,0,3.533333333,4.431372549,3.181818182,0,3.222222222,5,3.513513514,3.964143426,0,0,0,0,0,0,2.723684211,0,0,0,3.9,0,0,3.338475499,3.38781575,4.7,0,0,3.666666667,3.769230769,0,0,4.414285714,3.684051398,3.95,0,0,0,0,0,4.204301075,0,0,3.294117647,4.111111111,3.336546185,0,0,0,0,0,0,3.649082569,3.707649179,0,0,3.479061977,0,0,2.421052632,3.677631579,3.896319018,0,0,3.041033435,0,3.70493992,0,0,3.569306931,0,2.892857143,4.214285714,0,0,0,4.052631579,3.962962963,0,2.75,4.170731707,200.0782695
TN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.176237624,0,0,4.176237624,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.176237624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.176237624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.7049505
UT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.111111111,0,0,0,0,0,0,0,0,0,0,8.222222222
VT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.333333333
WI,3.579787234,3.656976744,0,0,3.740740741,3.4,1.75,3.60199533,0,0,0,3.585324232,3.858024691,3.636792453,3.864864865,3.659090909,3.885854969,3.971428571,3.157575758,3.646695197,0,3.981083234,4,3.724317295,2.923076923,4.071611253,0,3.371428571,2.96969697,3.147460404,3.484400071,3.824043261,4.094339623,4.571428571,0,3.727520436,3.78258694,0,3.74025974,3.185278477,3.315789474,3.595278246,2.934210526,3.822222222,4.416050686,4.039721254,0,3.843026387,4.042887473,3.8575,3.857142857,0,3.738219895,4.26875,3.950561798,0,0,3.954285714,4.516339869,0,0,3.943113772,3.880769231,3.378531073,3.685126381,3.654226475,3.833333333,3.688867745,3.888888889,4.133570793,4.052369077,0,4.333333333,3.960806589,3.637407502,3.801801802,3.962068966,3,3.629441624,0,0,3.516523868,3.732460243,0,4.196428571,4.039915966,3.717090069,0,0,0,0,3.4,4.379775281,3.700197239,3.757862759,0,0,3.662753866,0,0,4.218068536,3.695431472,3.838630807,3.672527473,4.128571429,3.719927207,3.659459459,3.653933312,3.740740741,3.769140165,3.957128614,3.926809211,3.2,3.755855856,3.696202532,0,0,4.000989772,3.952360515,3.932484076,3.457142857,4.25,348.5377384
XGL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.333333333
XGM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
XWY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4,0,0,0,0,0,0,0,0,0,0,0,4.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.46666667
